Title,Text,label
Pfizer Reports Success in Universal Flu Vaccine Trial,Pfizer’s new universal flu vaccine showed 85% effectiveness in preventing multiple flu strains.,1
Africa’s Largest Solar Farm Opens in Kenya,A solar project in northern Kenya is now providing electricity to over a million homes.,1
Microsoft Invests $2 Billion in Indian AI Startups,Microsoft will fund AI-driven startups across India to boost local innovation and talent development.,1
Canada Tightens Immigration Rules for Tech Workers,"In response to housing shortages, Canada has revised its immigration program for tech professionals.",1
Italy’s Venice Implements Tourist Entry Fee,Tourists visiting Venice must now pay a €5 entry fee as part of preservation efforts.,1
Netflix Releases First Fully AI-Generated Series,"Netflix’s new animated series, created entirely with AI tools, pushes the boundaries of content creation.",1
Global Cybersecurity Summit Begins in Geneva,Leaders and tech giants convene in Geneva to discuss strategies against rising cyber threats.,1
Researchers Create Biodegradable Smartphone Case,A team at MIT developed a phone case made of plant-based materials that degrades in 60 days.,1
Ukraine Receives Additional Aid Package from EU,The European Union approved a €12 billion aid package for Ukraine to support rebuilding efforts.,1
Dubai Opens World’s Tallest Vertical Farm,"The UAE launched the largest vertical farm, aiming to ensure food security in arid regions.",1
AI Startup Raises $100 Million to Revolutionize Education,EdTech startup EduAI has secured funding to develop personalized AI learning systems.,1
Researchers Discover New Coral Species in Pacific Ocean,Marine biologists have identified a previously unknown coral species during an expedition near Fiji.,1
Vaccination Campaign Begins After Measles Outbreak in Europe,Several EU countries have launched emergency vaccination drives following a rise in measles cases.,1
US Senate Approves Climate Resilience Bill,"The bill will allocate funds for disaster prevention, infrastructure upgrades, and emission reduction.",1
Saudi Arabia Plans $500 Billion Smart City,"NEOM, Saudi Arabia’s futuristic city project, is gaining momentum with new infrastructure announcements.",1
Twitter Rolls Out New Safety Features to Curb Abuse,"Twitter now lets users limit replies, filter content, and block offensive language more effectively.",1
Philippines Declares State of Calamity After Typhoon,"A powerful typhoon hit central Philippines, prompting emergency aid and rescue operations.",1
Singapore Launches AI Ethics Framework for Businesses,The new guidelines aim to ensure fairness and transparency in AI deployment across industries.,1
Argentina’s Economy Shows Signs of Stabilization,"Inflation rates dropped for the third month in a row, boosting investor confidence in Argentina.",1
UK Scientists Create Battery That Charges in 10 Minutes,A University of Oxford team developed a lithium-ion battery that could reduce EV charging time drastically.,1
Ireland Legalizes Assisted Dying for Terminally Ill Patients,Ireland’s parliament passed a controversial law allowing terminal patients to choose assisted death.,1
AI Detects Early Signs of Alzheimer’s from Speech Patterns,Researchers developed an AI model that can predict Alzheimer’s risk from simple speech tests.,1
Vietnam Emerges as Southeast Asia’s Tech Hub,"With foreign investment surging, Vietnam is becoming a regional center for software development.",1
NASA Plans Moon Base Construction by 2030,"NASA’s Artemis program includes a permanent base on the moon, intended to support deep space missions.",1
Zimbabwe Introduces Gold-Backed Digital Currency,Zimbabwe’s central bank launched a digital currency tied to gold to stabilize its economy.,1
NASA Discovers Water Ice on the Moon,"NASA scientists have confirmed the presence of water ice on the moon's surface near its poles, a breakthrough that could support future lunar missions.",1
ISRO Launches Cartosat-3 Successfully,"India's space agency ISRO launched Cartosat-3, a high-resolution imaging satellite, to bolster its earth observation capabilities.",1
NASA's James Webb Telescope Reaches Orbit,The James Webb Space Telescope has successfully reached its orbit and is preparing for a deep-space exploration mission beyond the solar system.,1
SpaceX Launches 60 Starlink Satellites,Elon Musk's SpaceX launched 60 additional satellites for its Starlink project aimed at providing global internet access.,1
NASA and ESA Team Up for Mars Sample Return,"In a historic collaboration, NASA and the European Space Agency will work together to retrieve soil samples from Mars for the first time.",1
Chandrayaan-3 Successfully Lands on the Moon,"India's Chandrayaan-3 mission successfully landed near the Moon's south pole, making India the fourth country to achieve this feat.",1
NASA's Perseverance Rover Finds Ancient Riverbed,NASA's Perseverance rover discovered sediment patterns indicating the presence of an ancient Martian river.,1
ISRO to Launch Aditya-L1 Solar Mission,"ISRO is preparing to launch Aditya-L1, its first mission to study the Sun, expected to provide valuable data on solar activity.",1
NASA Tests New Moon Habitat Design,NASA engineers have successfully tested a new prototype lunar habitat designed for long-term human stays on the Moon.,1
SpaceX Crew-7 Mission Docks at ISS,"The SpaceX Crew-7 mission safely arrived at the International Space Station, delivering four astronauts for a six-month research mission.",1
NASA Unveils Artemis II Crew Members,"NASA has announced the four astronauts who will participate in Artemis II, the first crewed mission to orbit the Moon in over 50 years.",1
ISRO Successfully Deploys NavIC Satellite,"The Indian Space Research Organisation successfully launched a NavIC navigation satellite, enhancing India’s regional positioning system.",1
NASA’s Hubble Telescope Spots Rare Supernova,"NASA’s Hubble Space Telescope has captured images of a rare Type Iax supernova, offering new insights into stellar evolution.",1
SpaceX Falcon Heavy Lifts Off with Military Satellite,"SpaceX's Falcon Heavy rocket carried a classified military satellite into orbit, marking another milestone in private-public space collaboration.",1
ISRO Begins Testing for Gaganyaan Human Mission,"ISRO has begun astronaut training and system testing for its upcoming Gaganyaan mission, India’s first manned space flight.",1
NASA’s Ingenuity Helicopter Completes 50th Flight,"NASA's Mars helicopter, Ingenuity, has completed its 50th successful flight, far exceeding original expectations.",1
ESA Approves Funding for Jupiter Icy Moons Explorer,"The European Space Agency approved funding for its JUICE mission to explore Jupiter's largest moons, including Europa and Ganymede.",1
NASA Satellites Monitor Climate Change in Arctic,"NASA’s Earth-observing satellites are monitoring rapid ice loss in the Arctic, providing critical data for climate scientists.",1
Blue Origin Announces Next Suborbital Flight Schedule,"Blue Origin confirmed its next suborbital space tourism flight will take place next month, featuring six civilian astronauts.",1
NASA Collaborates with Japan on Lunar Gateway,NASA and JAXA have signed an agreement to jointly develop modules for the upcoming Lunar Gateway space station orbiting the Moon.,1
